sensor_identifier,sensor_name,site_id,last_record_datetime
3,sensor_3,388,"2019-01-30 13:55:00"
4,sensor_4,389,"2019-01-30 14:00:00"
7,sensor_7,1784,"2021-03-25 06:11:00"
8,sensor_8,1784,"2021-05-04 15:17:00"
9,sensor_9,443,"2021-05-04 15:15:00"
10,sensor_10,446,"2021-05-04 15:15:00"
11,sensor_11,440,"2021-05-04 15:15:00"
11,sensor_11,1279,"2021-05-04 15:15:00"
13,sensor_13,441,"2021-05-04 15:15:00"
13,sensor_13,1279,"2021-05-04 15:15:00"
14,sensor_14,442,"2021-05-04 15:15:00"
14,sensor_14,1279,"2021-05-04 15:15:00"
18,sensor_18,452,"2021-05-04 15:17:00"
19,sensor_19,452,"2021-05-04 15:17:00"
21,sensor_21,451,"2021-05-04 15:17:00"
22,sensor_22,450,"2021-05-04 15:17:00"
23,sensor_23,491,"2021-05-04 15:15:00"
23,sensor_23,1277,"2021-05-04 15:15:00"
24,sensor_24,491,"2021-05-04 15:15:00"
24,sensor_24,1278,"2021-05-04 15:15:00"
25,sensor_25,132,"2021-05-04 15:15:00"
26,sensor_26,496,"2021-05-04 15:15:00"
28,sensor_28,308,"2021-05-04 15:15:00"
29,sensor_29,308,"2021-05-04 15:15:00"
30,sensor_30,623,"2021-05-04 15:15:00"
30,sensor_30,624,"2021-05-04 15:15:00"
31,sensor_31,640,"2021-05-04 15:15:00"
32,sensor_32,537,"2021-05-04 15:15:00"
32,sensor_32,1279,"2021-05-04 15:15:00"
36,sensor_36,233,"2021-05-04 15:15:00"
37,sensor_37,233,"2021-05-04 15:15:00"
38,sensor_38,235,"2021-05-04 15:15:00"
39,sensor_39,235,"2021-05-04 15:15:00"
40,sensor_40,562,"2021-05-04 15:15:00"
41,sensor_41,562,"2021-05-04 15:17:00"
44,sensor_44,387,"2021-05-04 15:17:00"
46,sensor_46,387,"2021-05-04 15:17:00"
51,sensor_51,584,"2021-05-04 00:00:00"
51,sensor_51,589,"2021-05-04 00:00:00"
52,sensor_52,584,"2021-05-04 15:16:00"
52,sensor_52,588,"2021-05-04 15:16:00"
53,sensor_53,589,"2021-05-04 00:00:00"
54,sensor_54,588,"2021-05-04 00:00:00"
56,sensor_56,637,"2021-05-04 15:17:00"
57,sensor_57,637,"2021-05-04 15:15:00"
58,sensor_58,649,"2021-05-04 15:15:00"
59,sensor_59,623,"2021-05-04 15:15:00"
59,sensor_59,624,"2021-05-04 15:15:00"
61,sensor_61,598,"2021-05-04 15:15:00"
62,sensor_62,637,"2021-05-04 15:17:00"
63,sensor_63,540,"2021-05-04 15:17:00"
64,sensor_64,540,"2021-05-04 15:17:00"
68,sensor_68,720,"2021-05-04 15:15:00"
69,sensor_69,745,"2021-02-18 08:40:00"
70,sensor_70,745,"2021-02-18 08:40:00"
71,sensor_71,387,"2021-05-04 15:17:00"
73,sensor_73,387,"2021-05-04 15:17:00"
74,sensor_74,807,"2020-03-28 04:55:00"
76,sensor_76,810,"2021-05-04 15:15:00"
77,sensor_77,298,"2021-05-04 15:15:00"
78,sensor_78,663,"2021-02-09 14:34:00"
81,sensor_81,565,"2019-08-19 09:45:00"
83,sensor_83,640,"2021-05-04 15:15:00"
84,sensor_84,854,"2021-05-04 15:15:00"
85,sensor_85,876,"2021-05-04 15:15:00"
85,sensor_85,1048,"2021-05-04 15:15:00"
86,sensor_86,877,"2021-05-04 15:15:00"
86,sensor_86,1049,"2021-05-04 15:15:00"
87,sensor_87,878,"2019-11-21 10:20:00"
87,sensor_87,1051,"2019-11-21 10:20:00"
88,sensor_88,874,"2021-05-04 15:15:00"
88,sensor_88,1054,"2021-05-04 15:15:00"
89,sensor_89,877,"2021-05-04 15:15:00"
89,sensor_89,1050,"2021-05-04 15:15:00"
90,sensor_90,874,"2021-05-04 15:15:00"
90,sensor_90,1054,"2021-05-04 15:15:00"
91,sensor_91,872,"2020-01-15 13:15:00"
92,sensor_92,872,"2021-05-04 15:15:00"
97,sensor_97,107,"2021-05-04 15:15:00"
99,sensor_99,272,"2021-05-04 15:15:00"
104,sensor_104,873,"2021-05-04 15:15:00"
105,sensor_105,872,"2021-05-04 15:15:00"
107,sensor_107,1728,"2021-05-04 15:15:00"
108,sensor_108,988,"2020-06-23 14:35:00"
109,sensor_109,973,"2021-05-04 15:15:00"
110,sensor_110,960,"2021-05-04 15:15:00"
112,sensor_112,964,"2021-05-04 15:15:00"
113,sensor_113,810,"2021-05-04 15:15:00"
116,sensor_116,878,"2019-11-21 10:20:00"
116,sensor_116,1052,"2019-11-21 10:20:00"
117,sensor_117,874,"2021-05-04 15:15:00"
117,sensor_117,1053,"2021-05-04 15:15:00"
118,sensor_118,877,"2021-05-04 15:15:00"
118,sensor_118,1050,"2021-05-04 15:15:00"
119,sensor_119,874,"2021-05-04 15:15:00"
119,sensor_119,1053,"2021-05-04 15:15:00"
120,sensor_120,876,"2021-05-04 15:15:00"
120,sensor_120,1047,"2021-05-04 15:15:00"
121,sensor_121,877,"2021-05-04 15:15:00"
121,sensor_121,1049,"2021-05-04 15:15:00"
122,sensor_122,985,"2021-05-04 15:15:00"
123,sensor_123,551,"2021-05-04 15:15:00"
124,sensor_124,1117,"2021-05-04 15:15:00"
125,sensor_125,551,"2021-05-04 15:15:00"
126,sensor_126,276,"2021-05-04 15:15:00"
127,sensor_127,651,"2021-05-04 15:15:00"
129,sensor_129,307,"2021-05-04 15:15:00"
130,sensor_130,307,"2021-05-04 15:15:00"
131,sensor_131,307,"2021-05-04 15:15:00"
132,sensor_132,833,"2021-05-04 15:15:00"
135,sensor_135,1224,"2021-05-04 15:15:00"
139,sensor_139,1114,"2021-01-15 06:55:00"
140,sensor_140,1095,"2021-05-04 15:15:00"
