site_id,opening_datetime,closing_datetime
107,"2021-05-07 10:00:00","2021-05-07 18:00:00"
132,"2021-05-07 07:00:00","2021-05-07 19:00:00"
233,"2021-05-07 00:00:00","2021-05-07 23:55:00"
235,"2021-05-07 00:00:00","2021-05-07 23:55:00"
272,"2021-05-07 08:30:00","2021-05-07 18:00:00"
276,"2021-05-07 08:00:00","2021-05-07 17:00:00"
298,"2021-05-07 09:30:00","2021-05-07 12:30:00"
298,"2021-05-07 13:30:00","2021-05-07 16:30:00"
307,"2021-05-07 06:00:00","2021-05-07 23:00:00"
308,"2021-05-07 08:30:00","2021-05-07 23:55:00"
387,"2021-05-07 10:00:00","2021-05-07 22:15:00"
388,"2021-05-07 00:00:00","2021-05-07 23:55:00"
389,"2021-05-07 11:00:00","2021-05-07 18:00:00"
440,"2021-05-07 00:00:00","2021-05-07 23:55:00"
441,"2021-05-07 00:00:00","2021-05-07 23:55:00"
442,"2021-05-07 00:00:00","2021-05-07 23:55:00"
443,"2021-05-07 00:00:00","2021-05-07 23:55:00"
446,"2021-05-07 00:00:00","2021-05-07 23:55:00"
450,"2021-05-07 11:00:00","2021-05-07 19:00:00"
451,"2021-05-07 11:00:00","2021-05-07 19:00:00"
452,"2021-05-07 11:00:00","2021-05-07 19:00:00"
491,NULL,NULL
496,"2021-05-07 00:00:00","2021-05-07 02:00:00"
496,"2021-05-07 18:00:00","2021-05-07 23:55:00"
537,"2021-05-07 00:00:00","2021-05-07 23:55:00"
540,NULL,NULL
551,"2021-05-07 09:00:00","2021-05-07 18:00:00"
562,NULL,NULL
565,"2021-05-07 11:00:00","2021-05-07 21:00:00"
584,NULL,NULL
588,"2021-05-07 09:15:00","2021-05-07 18:00:00"
589,"2021-05-07 09:15:00","2021-05-07 18:00:00"
598,"2021-05-07 09:00:00","2021-05-07 18:00:00"
623,"2021-05-07 08:00:00","2021-05-07 20:00:00"
624,"2021-05-07 08:00:00","2021-05-07 20:00:00"
625,"2021-05-07 09:00:00","2021-05-07 16:00:00"
637,"2021-05-07 08:30:00","2021-05-07 18:00:00"
640,NULL,NULL
649,"2021-05-07 08:30:00","2021-05-07 18:00:00"
651,"2021-05-07 10:30:00","2021-05-07 18:30:00"
663,"2021-05-07 12:00:00","2021-05-07 19:00:00"
720,NULL,NULL
745,"2021-05-07 08:15:00","2021-05-07 21:30:00"
807,"2021-05-07 06:30:00","2021-05-07 20:30:00"
810,"2021-05-07 08:30:00","2021-05-07 14:00:00"
810,"2021-05-07 15:30:00","2021-05-07 21:00:00"
833,"2021-05-07 08:00:00","2021-05-07 22:00:00"
854,"2021-05-07 09:00:00","2021-05-07 17:00:00"
872,"2021-05-07 00:00:00","2021-05-07 23:55:00"
873,"2021-05-07 00:00:00","2021-05-07 23:55:00"
874,"2021-05-07 00:00:00","2021-05-07 23:55:00"
876,"2021-05-07 00:00:00","2021-05-07 23:55:00"
877,"2021-05-07 00:00:00","2021-05-07 23:55:00"
878,"2021-05-07 00:00:00","2021-05-07 23:55:00"
933,NULL,NULL
934,NULL,NULL
957,"2021-05-07 09:30:00","2021-05-07 23:45:00"
960,"2021-05-07 09:30:00","2021-05-07 23:45:00"
964,"2021-05-07 09:30:00","2021-05-07 23:45:00"
973,"2021-05-07 09:30:00","2021-05-07 23:45:00"
985,"2021-05-07 14:00:00","2021-05-07 18:00:00"
988,"2021-05-07 08:00:00","2021-05-07 22:00:00"
1047,"2021-05-07 00:00:00","2021-05-07 23:55:00"
1048,"2021-05-07 00:00:00","2021-05-07 23:55:00"
1049,"2021-05-07 00:00:00","2021-05-07 23:55:00"
